Vocabulary,Reading,Translation
archery,อ๊าเชอะริ,ยิงธนู
american football,อะเมริกัน ฟุทบอล,อเมริกันฟุตบอล
athletics,แอ็ธเล๊ะทิคส์,กรีฑา
boxing,บ็อกซิ่ง,ต่อยมวย
cricket,คริ๊คคิท,คริกเก็ต
cycling,ไซ๊คลิง,ปั่นจักรยาน
darts,ดาทส์,ปาเป้า
fencing,เฟ็นซิง,ฟันดาบ
fishing,ฟิ๊ชชิง,ตกปลา
gymnastics,จิมแนสติคส์,ยิมนาสติก
handball,แฮนด์บอล,แฮนด์บอล
high jump,ไฮ๊จัมพ,กระโดดสูง
hockey,ฮ็อคคิ,ฮอกกี้
horse racing,ฮอส เร๊สซิง,แข่งม้า
ice skating,ไอ๊ซ สเก๊ททิง,สเกตน้ำแข็ง
judo,จู๊โด,ยูโด
polo,โพ๊โล,โปโล
karate,เคอะร๊าทิ,คาราเต้
car racing,คา เรซซิ่ง,แข่งรถ
running,รันนิ่ง,วิ่งแข่ง
sailing,เซ๊ลลิง,แข่งเรือใบ
softball,ซ๊อฟท์บอล,ซอฟต์บอล
shooting,ชู๊ททิง,ยิงปืน
skateboarding,สเก๊ตบอดดิง,สเกตบอร์ด
skating,สเก๊ททิง,สเกต
skiing,สกี๊อิง,สกี
sqaush,สคอช,สควอช
snooker,สนุ๊คเคอะ,สนุกเกอร์
snowboarding,สโน๊บอดดิง,สโนว์บอร์ด
swimming,สวิ๊มมิง,ว่ายน้ำ
taekwondo,เท๊ควอนโด,เทควันโด
water skiing,ว็อเทอะ สกี๊อิง,สกีน้ำ
weight lifting,เวท ลิ๊ฟทิง,ยกน้ำหนัก
wrestling,เร็สลิง,มวยปล้ำ
badminton,แบ๊ดมินเทิน,แบดมินตัน
baseball,เบ๊สบอล,เบสบอล
basketball,บ๊าสกิท บอล,บาสเก็ทบอล
bowling,โบ๊ลิง,โบว์ลิ่ง
football,ฟุ๊ทบอล,ฟุตบอล
golf,กอฟ,กอล์ฟ
rugby,รั๊กบิ,รักบี้
table tennis,เท๊เบิล เท็นนิส,ปิงปอง
tennis,เท็นนิส,เทนนิส
volleyball,ว็อลลิบอล,วอลเลย์บอล
buffalo,บั๊ฟฟะโล,ควาย
cat,แค็ท,แมว
chicken,ชิ๊คคิน,ไก่
cow,คาว,วัว
dog,ดอก,สุนัข
duck,ดั๊ค,เป็ด
elephant,เอ็ลละเฟินท,ช้าง
goat,โก๊ท,แพะ
goldfish,โกลดฟิช,ปลาทอง
hamster,แฮ๊มสเตอ,หนูแฮมสเตอร์
horse,ฮอส,ม้า
mouse,เมาส,หนู
pig,พิก,หมู
rabbit,แร๊บบิท,กระต่าย
sheep,ชีพ,แกะ
apple,แอ๊พเพิล,แอปเปิ้ล
banana,บะน๊านะ,กล้วย
coconut,โค๊โคนัท,มะพร้าว
grape,เกรพ,องุ่น
lemon,เล็มเมิน,มะนาวฝรั่ง
mango,แม็งโก,มะม่วง
orange,อ๊อรินจ,ส้ม
papaya,พะไพ๊ยะ,มะละกอ
pineapple,ไพ๊แนพเพิล,สัปปะรด
strawberry,สตร๊อเบริ,สตรอเบอร์รี่
subject,ซั๊บเจ็คท,วิชา
art,อาท,ศิลปะ
biology,ไบอ๊อลละจิ,ชีววิทยา
chemistry,เค็๊มมิสตริ,เคมี
English,อิ๊งลิช,ภาษาอังกฤษ
geography,จิอ๊อกระฟิ,ภูมิศาสตร์
history,ฮิ๊สตริ,ประวัติศาสตร์
math,แม็ธ,คณิตศาสตร์
music,มิ๊วสิค,ดนตรี
PE,พีอี,พลศึกษา
physics,ฟิ๊สิคส,ฟิสิกส์
science,ไซ๊เยินซ,วิทยาศาสตร์
social studies,โซ๊เชิล สตั๊ดดิ,สังคมศึกษา
Thai,ทาย,ภาษาไทย
